block_id,no_items,worth_week1,worth_week2,worth_week3
616,6,7151.0,8883.0,9718.0
1027,8,7144.0,4563.0,3303.0
489,5,7141.0,6959.0,4363.0
993,5,7135.0,5877.0,4125.0
606,8,7122.0,5322.0,4370.0
1356,9,7118.0,4870.0,4524.0
2674,4,7117.0,6337.0,5909.0
676,6,7107.0,4643.0,3561.0
2558,7,7105.0,8032.0,7949.0
2183,9,7102.0,6629.0,6237.0
893,2,7093.0,5535.0,4277.0
2316,10,7075.0,6450.0,5001.0
2701,9,7068.0,9090.0,8054.0
1857,9,7043.0,6679.0,6257.0
2299,4,7028.0,6104.0,4175.0
2276,8,7024.0,6556.0,5274.0
1469,9,7020.0,8245.0,7109.0
2522,9,6999.0,5365.0,5253.0
1875,3,6993.0,6278.0,5299.0
858,6,6992.0,9888.0,19151.0
1133,6,6980.0,6142.0,6347.0
2367,5,6970.0,6995.0,6091.0
2773,9,6954.0,5873.0,4722.0
2282,6,6951.0,7572.0,7208.0
2595,9,6949.0,6274.0,5934.0
2104,7,6919.0,6141.0,4645.0
108,7,6910.0,16034.0,5477.0
2035,9,6902.0,6997.0,6556.0
2705,8,6867.0,4952.0,3835.0
1874,9,6867.0,21886.0,11057.0
2405,10,6867.0,7793.0,9131.0
2618,4,6866.0,5830.0,4574.0
1002,7,6859.0,5052.0,3882.0
2632,9,6850.0,8081.0,5783.0
2579,3,6849.0,8022.0,5641.0
2155,9,6817.0,5502.0,5418.0
2611,10,6790.0,10733.0,7240.0
2189,5,6770.0,7448.0,6739.0
1677,9,6769.0,6131.0,6137.0
1728,10,6751.0,5811.0,4965.0
2298,8,6744.0,9575.0,8921.0
267,8,6705.0,6047.0,3680.0
2772,4,6699.0,6636.0,6471.0
1433,6,6688.0,1602.0,1705.0
1938,4,6673.0,8866.0,3515.0
2423,10,6673.0,6235.0,5578.0
2173,6,6655.0,8917.0,7799.0
1125,3,6626.0,6072.0,4232.0
1553,9,6614.0,5288.0,3772.0
1929,8,6612.0,4319.0,3542.0
2009,10,6601.0,5828.0,6434.0
2722,9,6601.0,6603.0,6743.0
2178,9,6595.0,5674.0,5147.0
2315,7,6569.0,6365.0,5198.0
631,7,6560.0,7604.0,11610.0
2032,8,6559.0,5313.0,7192.0
1973,9,6541.0,5726.0,5112.0
1344,9,6535.0,5976.0,5123.0
1054,10,6530.0,6488.0,5367.0
2278,7,6526.0,6147.0,5780.0
2194,6,6521.0,5836.0,6905.0
1493,10,6513.0,7710.0,5603.0
2390,7,6509.0,6343.0,5313.0
1918,10,6495.0,4480.0,4367.0
2583,10,6494.0,16616.0,10366.0
1750,8,6479.0,44280.0,20447.0
1784,8,6452.0,8144.0,4234.0
2206,4,6436.0,5917.0,4516.0
666,8,6434.0,5606.0,4157.0
2068,3,6423.0,5008.0,4935.0
2362,2,6402.0,6143.0,6467.0
2252,9,6400.0,6204.0,4856.0
845,9,6384.0,4360.0,3885.0
1062,7,6380.0,9699.0,5371.0
1407,8,6369.0,5910.0,5617.0
2610,10,6349.0,5139.0,4282.0
1425,7,6344.0,6191.0,5192.0
1691,10,6328.0,17960.0,3586.0
1237,4,6324.0,5495.0,5950.0
1453,8,6319.0,8899.0,10287.0
2152,5,6308.0,7095.0,5672.0
2019,9,6306.0,4612.0,4130.0
1280,10,6302.0,4397.0,3577.0
1104,3,6294.0,5048.0,3491.0
2160,6,6285.0,6475.0,4987.0
1988,6,6283.0,4596.0,4083.0
453,9,6254.0,4644.0,4896.0
669,6,6246.0,6327.0,4153.0
992,7,6238.0,4574.0,3099.0
1127,6,6238.0,5540.0,8169.0
60,9,6235.0,9154.0,10163.0
1211,9,6230.0,6148.0,5559.0
1736,4,6222.0,6216.0,5907.0
2215,7,6221.0,3979.0,3284.0
2220,5,6221.0,5066.0,4112.0
2054,7,6220.0,6970.0,4321.0
2614,10,6149.0,5749.0,7194.0
1820,8,6136.0,5120.0,4147.0
2482,10,6126.0,8747.0,8619.0
2417,8,6120.0,6497.0,7365.0
2150,3,6107.0,5247.0,4508.0
969,8,6096.0,5638.0,5641.0
2518,7,6088.0,6526.0,6611.0
2758,2,6076.0,6974.0,8670.0
2370,9,6074.0,6382.0,5027.0
91,10,6073.0,6060.0,3467.0
1606,10,6073.0,5932.0,5211.0
1318,10,6070.0,12369.0,6148.0
897,3,6060.0,5451.0,3384.0
1652,5,6059.0,7573.0,17946.0
2171,4,6054.0,4048.0,3447.0
978,10,6051.0,6517.0,5615.0
84,8,6021.0,5719.0,5836.0
366,10,6021.0,8543.0,5873.0
333,6,6011.0,5134.0,5371.0
1000,5,6010.0,5566.0,4798.0
1255,8,6005.0,4760.0,3933.0
1731,10,5999.0,5275.0,2711.0
1903,8,5974.0,5090.0,5112.0
2432,9,5968.0,14515.0,10656.0
828,4,5957.0,5557.0,4818.0
2038,7,5956.0,5445.0,6031.0
658,10,5955.0,4922.0,4833.0
1059,8,5952.0,5249.0,4623.0
549,10,5950.0,7873.0,5393.0
522,8,5938.0,4240.0,3552.0
2354,7,5929.0,4971.0,4951.0
1579,6,5923.0,4580.0,4021.0
2763,5,5910.0,5440.0,4451.0
1511,5,5909.0,5514.0,3406.0
1935,10,5892.0,4714.0,4141.0
2680,8,5882.0,5365.0,3741.0
1729,7,5879.0,4274.0,3862.0
736,9,5868.0,4121.0,4731.0
2208,5,5861.0,23199.0,26119.0
1685,8,5851.0,6345.0,8432.0
2739,3,5844.0,6763.0,7881.0
21,10,5831.0,2989.0,2242.0
2647,10,5826.0,6016.0,7094.0
2181,4,5817.0,5148.0,5045.0
1672,7,5815.0,6749.0,4459.0
2548,5,5805.0,6712.0,3836.0
1732,7,5796.0,6206.0,4428.0
2240,8,5795.0,5403.0,5647.0
1965,9,5792.0,6692.0,4566.0
1389,7,5791.0,5141.0,8893.0
2224,7,5778.0,5308.0,5450.0
996,6,5773.0,5893.0,4109.0
1664,7,5772.0,7640.0,4723.0
2760,9,5769.0,7130.0,6966.0
2087,10,5762.0,4844.0,4806.0
784,6,5762.0,6126.0,4501.0
2727,6,5758.0,9590.0,6681.0
2222,5,5750.0,5106.0,5001.0
1683,10,5745.0,5926.0,3890.0
2728,10,5737.0,5491.0,5750.0
2493,1,5711.0,5348.0,4725.0
507,5,5707.0,5302.0,3821.0
2243,9,5681.0,4296.0,3630.0
976,10,5679.0,6374.0,2453.0
1880,7,5679.0,4482.0,5374.0
1589,7,5676.0,9526.0,6115.0
2695,8,5654.0,6473.0,5388.0
1746,9,5633.0,5525.0,4591.0
2497,4,5625.0,5064.0,4744.0
2600,7,5624.0,6130.0,5540.0
2708,9,5623.0,6268.0,4255.0
1251,5,5620.0,5479.0,4802.0
1157,7,5616.0,7207.0,6681.0
1479,9,5615.0,5608.0,4028.0
1050,9,5612.0,6092.0,6403.0
2109,8,5612.0,5678.0,4847.0
393,2,5609.0,5012.0,4208.0
1543,8,5606.0,4711.0,3562.0
554,10,5603.0,6592.0,5973.0
2386,10,5587.0,5224.0,4858.0
1016,1,5578.0,4605.0,4413.0
1666,10,5573.0,4422.0,4042.0
2374,10,5562.0,4968.0,4659.0
427,3,5553.0,3711.0,1484.0
1258,6,5538.0,5667.0,5895.0
2742,9,5537.0,4777.0,4264.0
2176,10,5534.0,13994.0,4076.0
320,10,5524.0,5641.0,5933.0
532,8,5523.0,21538.0,7465.0
1633,7,5521.0,6842.0,6865.0
2504,4,5516.0,5596.0,4838.0
2556,4,5509.0,6606.0,7244.0
1763,5,5508.0,5545.0,4137.0
1463,10,5507.0,7884.0,5883.0
457,9,5506.0,5825.0,3442.0
1070,9,5503.0,5052.0,3516.0
1671,7,5498.0,13683.0,7270.0
2136,7,5493.0,4997.0,7572.0
1888,8,5489.0,7019.0,9537.0
1378,8,5488.0,4703.0,4350.0
2425,10,5488.0,11733.0,6369.0
1860,7,5487.0,5007.0,4048.0
795,5,5483.0,4436.0,4407.0
1771,8,5483.0,5173.0,4236.0
1932,9,5483.0,5394.0,4422.0
2659,8,5466.0,8203.0,8459.0
1460,8,5465.0,17824.0,9080.0
1188,10,5464.0,5759.0,5316.0
1695,4,5461.0,4092.0,3927.0
2636,9,5455.0,5622.0,4414.0
847,7,5453.0,4839.0,6825.0
1405,9,5444.0,5653.0,5505.0
879,7,5436.0,5626.0,1877.0
42,6,5427.0,5956.0,4311.0
1076,6,5416.0,10846.0,13107.0
841,10,5414.0,5908.0,5515.0
1164,8,5412.0,4020.0,2776.0
806,6,5397.0,10142.0,7048.0
1614,9,5385.0,4495.0,3561.0
1975,6,5374.0,5340.0,3512.0
2679,5,5369.0,4674.0,3709.0
1296,6,5369.0,5522.0,2885.0
1268,9,5369.0,4024.0,3748.0
1313,8,5365.0,5917.0,3951.0
2045,6,5362.0,4435.0,2985.0
1829,9,5362.0,3269.0,3532.0
2070,8,5356.0,5628.0,6258.0
2464,8,5328.0,5069.0,3951.0
2442,4,5327.0,4521.0,4840.0
386,6,5321.0,5582.0,5022.0
2535,8,5315.0,3787.0,3641.0
2039,9,5312.0,4587.0,3974.0
2261,9,5305.0,5414.0,5051.0
1625,9,5298.0,5653.0,5141.0
1214,5,5297.0,5412.0,2591.0
1854,6,5289.0,4858.0,3649.0
671,10,5285.0,4805.0,4466.0
2077,9,5263.0,4430.0,4374.0
2092,2,5263.0,5543.0,5418.0
937,4,5252.0,4558.0,3391.0
2689,4,5241.0,4475.0,3215.0
150,4,5240.0,5612.0,5562.0
1641,2,5236.0,4193.0,1785.0
504,8,5232.0,4132.0,4855.0
2098,10,5229.0,5344.0,4557.0
2061,6,5209.0,3636.0,3870.0
1186,10,5208.0,4997.0,4066.0
654,7,5208.0,5481.0,4629.0
2245,6,5208.0,3914.0,3550.0
1069,4,5199.0,3542.0,2723.0
2500,5,5199.0,12121.0,6246.0
1917,9,5198.0,6466.0,4579.0
1980,2,5198.0,5058.0,4218.0
1946,2,5177.0,5006.0,3635.0
2601,8,5176.0,8462.0,6639.0
2691,6,5170.0,4453.0,3755.0
1588,6,5168.0,4937.0,2383.0
2131,7,5165.0,4896.0,4267.0
2621,9,5154.0,5331.0,4142.0
2741,9,5148.0,4456.0,4601.0
2531,10,5144.0,4660.0,3747.0
708,10,5141.0,5765.0,4198.0
1155,10,5136.0,4614.0,5364.0
1100,6,5134.0,3691.0,4664.0
2505,3,5102.0,5242.0,5781.0
2515,5,5082.0,4536.0,6442.0
2113,9,5075.0,8961.0,6107.0
474,1,5072.0,4572.0,2273.0
2685,1,5069.0,3430.0,3281.0
748,10,5062.0,3457.0,3856.0
2114,8,5059.0,4301.0,3254.0
1177,8,5058.0,4989.0,1864.0
2310,5,5057.0,4909.0,4652.0
1866,5,5046.0,3970.0,3370.0
2339,10,5035.0,5073.0,3867.0
562,6,5029.0,7166.0,4678.0
1367,10,5028.0,5398.0,5456.0
1527,9,5027.0,4050.0,6056.0
2673,3,5019.0,4061.0,3272.0
1794,10,5018.0,3250.0,3096.0
2616,5,5010.0,4319.0,4084.0
2257,10,5004.0,5192.0,3598.0
508,6,4997.0,6055.0,2759.0
2737,10,4992.0,4297.0,3997.0
1443,4,4991.0,4897.0,3979.0
2660,7,4988.0,11005.0,8267.0
2565,7,4986.0,4324.0,4241.0
2014,8,4978.0,7801.0,6202.0
82,10,4978.0,2939.0,2704.0
2663,6,4975.0,8160.0,4938.0
482,6,4974.0,3796.0,3327.0
2419,9,4972.0,5446.0,4660.0
1309,10,4970.0,6934.0,6361.0
2630,9,4967.0,4194.0,3941.0
860,3,4954.0,3429.0,2702.0
2765,5,4951.0,4292.0,3843.0
640,9,4943.0,5303.0,5371.0
2088,9,4943.0,4384.0,3047.0
2626,9,4941.0,6038.0,4162.0
1247,9,4939.0,4089.0,3952.0
2693,10,4938.0,5225.0,4586.0
2391,4,4934.0,16227.0,8464.0
65,5,4933.0,3251.0,2943.0
2112,5,4925.0,5500.0,6555.0
2650,7,4922.0,4613.0,4442.0
1539,10,4911.0,9872.0,10312.0
1835,8,4905.0,5168.0,3641.0
704,10,4901.0,3584.0,2749.0
1669,8,4894.0,3961.0,2699.0
1631,7,4892.0,4257.0,3787.0
2062,10,4891.0,5606.0,4420.0
2430,5,4883.0,4894.0,3954.0
2687,9,4880.0,4742.0,3903.0
1911,4,4877.0,12732.0,3200.0
779,7,4873.0,7402.0,7952.0
2575,5,4866.0,4739.0,4077.0
2438,10,4863.0,5183.0,4529.0
2644,10,4859.0,4705.0,5060.0
2108,4,4855.0,2338.0,2308.0
2525,9,4851.0,5119.0,4891.0
1294,8,4850.0,4553.0,5504.0
2762,6,4850.0,4409.0,4384.0
1427,10,4837.0,5015.0,4907.0
1940,9,4829.0,4147.0,3689.0
1319,4,4825.0,4056.0,3646.0
2713,1,4824.0,4694.0,6080.0
1904,6,4817.0,3768.0,4676.0
2296,9,4813.0,5191.0,5143.0
2396,10,4812.0,6938.0,4882.0
2347,9,4811.0,25451.0,9935.0
2341,10,4805.0,5188.0,4719.0
1053,6,4791.0,3161.0,2707.0
612,8,4787.0,8674.0,6157.0
2453,5,4785.0,4563.0,3655.0
2639,6,4783.0,4328.0,5138.0
1273,8,4775.0,6448.0,5139.0
1303,9,4775.0,4882.0,4554.0
2137,8,4774.0,3675.0,3655.0
533,6,4769.0,10669.0,5466.0
2301,2,4759.0,4530.0,4510.0
1708,8,4756.0,8758.0,7445.0
520,8,4755.0,3212.0,2736.0
2286,5,4751.0,4496.0,3857.0
1071,6,4747.0,4425.0,4072.0
1338,9,4747.0,3806.0,3458.0
2185,8,4746.0,4564.0,4046.0
2495,8,4731.0,4365.0,4791.0
1878,8,4728.0,4246.0,4220.0
2577,5,4726.0,5161.0,4078.0
27,8,4717.0,4662.0,5902.0
2615,7,4712.0,3986.0,4359.0
2759,6,4711.0,4614.0,3888.0
2412,9,4711.0,4595.0,4869.0
237,9,4710.0,3733.0,3367.0
2638,4,4705.0,5134.0,4840.0
2022,5,4695.0,4126.0,4266.0
2743,10,4692.0,9879.0,7881.0
2377,7,4692.0,8417.0,7455.0
1141,9,4691.0,4486.0,3850.0
655,7,4689.0,2380.0,1565.0
1905,5,4679.0,4038.0,5389.0
2521,9,4678.0,5713.0,6009.0
1352,8,4678.0,12095.0,8404.0
1939,10,4671.0,6838.0,6387.0
2441,5,4667.0,4821.0,3849.0
1845,3,4665.0,3785.0,3628.0
422,6,4664.0,6369.0,2106.0
1805,3,4661.0,3582.0,3403.0
1485,8,4658.0,7932.0,7225.0
1838,4,4652.0,5164.0,5279.0
2102,9,4651.0,9110.0,6111.0
2118,7,4646.0,3895.0,3535.0
2122,6,4638.0,4273.0,4452.0
913,4,4634.0,3500.0,3614.0
2532,8,4628.0,5788.0,5195.0
1492,9,4628.0,4892.0,4513.0
2302,7,4626.0,4231.0,3458.0
2134,9,4618.0,4435.0,3537.0
1698,9,4607.0,4231.0,3722.0
2066,5,4605.0,5108.0,5801.0
2263,5,4595.0,4724.0,5141.0
943,3,4594.0,10559.0,12135.0
867,7,4593.0,7746.0,3382.0
1996,3,4591.0,10436.0,12331.0
1308,4,4585.0,3497.0,2291.0
984,10,4580.0,5646.0,5582.0
2604,6,4579.0,5397.0,5058.0
2462,4,4577.0,3889.0,3779.0
2733,8,4576.0,4935.0,4594.0
730,9,4573.0,2799.0,2977.0
1804,9,4572.0,11610.0,8326.0
2188,9,4572.0,3842.0,3156.0
379,7,4572.0,4035.0,3506.0
309,6,4568.0,3702.0,2472.0
2539,9,4566.0,5897.0,4828.0
2667,6,4564.0,4594.0,4459.0
953,8,4557.0,4088.0,3934.0
1526,2,4555.0,3523.0,3821.0
1674,7,4545.0,4905.0,4819.0
0,7,4533.0,28244.0,11400.0
904,9,4533.0,4953.0,3175.0
1289,7,4527.0,4167.0,2009.0
1792,6,4523.0,3810.0,3540.0
2643,6,4520.0,18941.0,12300.0
792,10,4510.0,4611.0,3810.0
2552,4,4509.0,6160.0,3737.0
1856,8,4508.0,4075.0,2800.0
2652,4,4504.0,3831.0,3963.0
1837,5,4503.0,4772.0,3454.0
1778,8,4503.0,7578.0,4938.0
1953,6,4499.0,4385.0,3098.0
2322,9,4497.0,5135.0,5574.0
2596,2,4493.0,4535.0,3569.0
1790,7,4489.0,5154.0,4251.0
2292,6,4489.0,6368.0,3891.0
2541,3,4488.0,5061.0,5907.0
1981,6,4483.0,5135.0,5724.0
649,10,4482.0,3404.0,3422.0
994,5,4482.0,4296.0,4498.0
1914,7,4480.0,4939.0,6187.0
1737,7,4474.0,3864.0,4014.0
587,2,4472.0,16485.0,4390.0
1149,9,4465.0,3420.0,3197.0
1598,10,4460.0,4908.0,5396.0
431,7,4455.0,5822.0,5867.0
907,8,4447.0,2884.0,2192.0
292,7,4446.0,5037.0,1785.0
1181,10,4443.0,3917.0,4155.0
1314,7,4440.0,8661.0,3217.0
1686,10,4440.0,3436.0,3231.0
355,10,4439.0,3587.0,1973.0
2628,7,4431.0,4319.0,4294.0
313,8,4420.0,5398.0,5448.0
1544,10,4420.0,3321.0,3151.0
8,1,4416.0,3066.0,2347.0
1810,9,4406.0,4515.0,4465.0
1236,9,4404.0,4479.0,4272.0
1870,2,4404.0,3147.0,2588.0
2512,7,4402.0,4340.0,3903.0
1780,5,4395.0,5416.0,3683.0
2692,3,4395.0,8538.0,5280.0
1454,6,4392.0,2953.0,2443.0
728,5,4391.0,2919.0,6224.0
1863,10,4384.0,4171.0,3728.0
129,7,4382.0,2525.0,1597.0
1231,4,4381.0,4365.0,3933.0
1586,9,4377.0,5120.0,3444.0
2177,6,4376.0,4204.0,2826.0
198,10,4375.0,5224.0,4115.0
1207,3,4374.0,3779.0,3519.0
2196,7,4374.0,4849.0,3620.0
875,8,4370.0,3548.0,2424.0
1823,10,4366.0,9792.0,5027.0
1228,9,4365.0,3960.0,2141.0
1501,5,4364.0,13263.0,9498.0
2143,10,4360.0,4883.0,4586.0
2640,7,4360.0,4214.0,3405.0
2538,6,4360.0,3957.0,3388.0
2506,10,4360.0,10244.0,6168.0
2544,8,4353.0,3924.0,3522.0
1743,10,4353.0,4544.0,3203.0
1882,4,4353.0,3759.0,3015.0
1765,9,4353.0,4252.0,4637.0
2547,5,4350.0,4230.0,4429.0
2179,4,4343.0,11124.0,8103.0
814,8,4339.0,3728.0,2710.0
2683,7,4322.0,4207.0,3724.0
2699,10,4321.0,10540.0,7591.0
2073,10,4321.0,6008.0,2920.0
2250,8,4320.0,4295.0,4319.0
1198,9,4315.0,4422.0,3283.0
2756,6,4314.0,4379.0,3978.0
624,9,4314.0,4043.0,4354.0
2509,6,4306.0,4589.0,4629.0
1353,6,4304.0,8202.0,5197.0
2746,10,4303.0,4186.0,3894.0
1167,3,4302.0,5160.0,4701.0
